"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality"
"686" 8.1 0.78 0.23 2.6 0.059 5 15 0.997 3.37 0.56 11.3 "5"
"1377" 8.2 0.885 0.2 1.4 0.086 7 31 0.9946 3.11 0.46 10 "5"
"884" 7.2 0.6 0.04 2.5 0.076 18 88 0.99745 3.53 0.55 9.5 "5"
"1193" 7.2 0.25 0.37 2.5 0.063 11 41 0.99439 3.52 0.8 12.4 "7"
"904" 6.8 0.59 0.06 6 0.06 11 18 0.9962 3.41 0.59 10.8 "7"
"258" 6.6 0.695 0 2.1 0.075 12 56 0.9968 3.49 0.67 9.2 "5"
"156" 7.1 0.43 0.42 5.5 0.071 28 128 0.9973 3.42 0.71 10.5 "5"
"1240" 6.5 0.67 0 4.3 0.057 11 20 0.99488 3.45 0.56 11.8 "4"
"1414" 9.9 0.57 0.25 2 0.104 12 89 0.9963 3.04 0.9 10.1 "5"
"467" 10.3 0.5 0.42 2 0.069 21 51 0.9982 3.16 0.72 11.5 "6"
"639" 7.7 0.915 0.12 2.2 0.143 7 23 0.9964 3.35 0.65 10.2 "7"
"1336" 6.6 0.58 0.02 2.4 0.069 19 40 0.99387 3.38 0.66 12.6 "6"
"865" 7.2 0.62 0.06 2.7 0.077 15 85 0.99746 3.51 0.54 9.5 "5"
"3" 7.8 0.76 0.04 2.3 0.092 15 54 0.997 3.26 0.65 9.8 "5"
"1086" 6.8 0.48 0.08 1.8 0.074 40 64 0.99529 3.12 0.49 9.6 "5"
"205" 7 0.43 0.36 1.6 0.089 14 37 0.99615 3.34 0.56 9.2 "6"
"1" 7.4 0.7 0 1.9 0.076 11 34 0.9978 3.51 0.56 9.4 "5"
"1337" 6 0.5 0 1.4 0.057 15 26 0.99448 3.36 0.45 9.5 "5"
"55" 7.6 0.51 0.15 2.8 0.11 33 73 0.9955 3.17 0.63 10.2 "6"
"42" 8.8 0.61 0.3 2.8 0.088 17 46 0.9976 3.26 0.51 9.3 "4"
"1319" 7.5 0.63 0.27 2 0.083 17 91 0.99616 3.26 0.58 9.8 "6"
"984" 9.1 0.5 0.3 1.9 0.065 8 17 0.99774 3.32 0.71 10.5 "6"
"934" 7.4 0.61 0.01 2 0.074 13 38 0.99748 3.48 0.65 9.8 "5"
"275" 7.5 0.65 0.18 7 0.088 27 94 0.99915 3.38 0.77 9.4 "5"
"1576" 7.5 0.52 0.4 2.2 0.06 12 20 0.99474 3.26 0.64 11.8 "6"
"805" 8.4 0.52 0.22 2.7 0.084 4 18 0.99682 3.26 0.57 9.9 "6"
"912" 9.1 0.28 0.46 9 0.114 3 9 0.99901 3.18 0.6 10.9 "6"
"185" 6.7 0.62 0.21 1.9 0.079 8 62 0.997 3.52 0.58 9.3 "6"
"236" 7.2 0.63 0 1.9 0.097 14 38 0.99675 3.37 0.58 9 "6"
"228" 9 0.82 0.14 2.6 0.089 9 23 0.9984 3.39 0.63 9.8 "5"
"326" 10 0.49 0.2 11 0.071 13 50 1.0015 3.16 0.69 9.2 "6"
"627" 8.8 0.6 0.29 2.2 0.098 5 15 0.9988 3.36 0.49 9.1 "5"
"633" 7.6 0.41 0.14 3 0.087 21 43 0.9964 3.32 0.57 10.5 "6"
"164" 7.4 0.6 0.26 7.3 0.07 36 121 0.9982 3.37 0.49 9.4 "5"
"450" 11.9 0.39 0.69 2.8 0.095 17 35 0.9994 3.1 0.61 10.8 "6"
"1290" 7 0.6 0.3 4.5 0.068 20 110 0.99914 3.3 1.17 10.2 "5"
"585" 11.8 0.33 0.49 3.4 0.093 54 80 1.0002 3.3 0.76 10.7 "7"
"1436" 10.2 0.54 0.37 15.4 0.214 55 95 1.00369 3.18 0.77 9 "6"
"423" 7.7 0.96 0.2 2 0.047 15 60 0.9955 3.36 0.44 10.9 "5"
"1312" 6.5 0.51 0.15 3 0.064 12 27 0.9929 3.33 0.59 12.8 "6"
"493" 8.9 0.4 0.51 2.6 0.052 13 27 0.995 3.32 0.9 13.4 "7"
"1037" 7.6 0.31 0.34 2.5 0.082 26 35 0.99356 3.22 0.59 12.5 "7"
"93" 8.6 0.49 0.29 2 0.11 19 133 0.9972 2.93 1.98 9.8 "5"
"699" 9.4 0.615 0.28 3.2 0.087 18 72 1.0001 3.31 0.53 9.7 "5"
"1424" 6.4 0.53 0.09 3.9 0.123 14 31 0.9968 3.5 0.67 11 "4"
"668" 11.3 0.34 0.45 2 0.082 6 15 0.9988 2.94 0.66 9.2 "6"
"316" 7.1 0.35 0.29 2.5 0.096 20 53 0.9962 3.42 0.65 11 "6"
"1027" 7.9 0.31 0.32 1.9 0.066 14 36 0.99364 3.41 0.56 12.6 "6"
"94" 7.7 0.49 0.26 1.9 0.062 9 31 0.9966 3.39 0.64 9.6 "5"
"1411" 6.6 0.96 0 1.8 0.082 5 16 0.9936 3.5 0.44 11.9 "6"
"624" 7.9 0.51 0.25 2.9 0.077 21 45 0.9974 3.49 0.96 12.1 "6"
"664" 10.1 0.28 0.46 1.8 0.05 5 13 0.9974 3.04 0.79 10.2 "6"
"833" 10.4 0.44 0.42 1.5 0.145 34 48 0.99832 3.38 0.86 9.9 "3"
"147" 5.8 0.68 0.02 1.8 0.087 21 94 0.9944 3.54 0.52 10 "5"
"1482" 8.2 0.28 0.6 3 0.104 10 22 0.99828 3.39 0.68 10.6 "5"
"361" 8.2 0.7 0.23 2 0.099 14 81 0.9973 3.19 0.7 9.4 "5"
