"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality"
"1089" 11.6 0.41 0.54 1.5 0.095 22 41 0.99735 3.02 0.76 9.9 "5"
"52" 11.0239000286441 0.495755012889858 0.605576673350297 4.00356679079123 0.0786373340971768 5.53983338107355 17.6195001432206 0.998063733409718 3.18778833667515 0.671593335242942 12.2956001145765 "6"
"111" 6.13743100455031 0.994407802397618 0.04 1.74122930136509 0.0688860510955565 24.5072504340205 74.7631209590472 0.994852123679209 3.52251379908994 0.548245860273018 9.87441294749733 "2"
"112" 8.44380368383136 0.404380368383136 0.405619631616864 2.20164767014794 0.0702313759452663 8.0082383507397 17.5784398631658 0.995637514452287 3.35 0.727933391069528 11.9454513539793 "6"
"448" 9.3 0.48 0.29 2.1 0.127 6 16 0.9968 3.22 0.72 11.2 "3"
"151" 9.75472524613142 0.379539836058393 0.512276098364964 2.12736262306571 0.0705907967211679 6.18159344233572 16 0.995675744459387 3.18544780327007 0.673631868846714 11.8861950817518 "6"
"950" 8.9 0.12 0.45 1.8 0.075 10 21 0.99552 3.41 0.76 11.9 "5"
"181" 8.56025731668342 0.4268130314257 0.387161236905958 1.83974268331658 0.0684542020950466 6.11355052376166 12.2838763094041 0.995000461514115 3.34148371071788 0.691703257856425 11.7794853666332 "6"
"426" 6.6 0.84 0.03 2.3 0.059 32 48 0.9952 3.52 0.56 12.3 "5"
"732" 8.9 0.875 0.13 3.45 0.088 4 14 0.9994 3.44 0.52 11.5 "3"
"284" 8.9 0.4 0.32 5.6 0.087 10 47 0.9991 3.38 0.77 10.5 "5"
"1522" 6.9 0.48 0.2 1.9 0.082 9 23 0.99585 3.39 0.43 9.05 "2"
"1277" 8.5 0.4 0.4 6.3 0.05 3 10 0.99566 3.28 0.56 12 "2"
"543" 9.3 0.715 0.24 2.1 0.07 5 20 0.9966 3.12 0.59 9.9 "3"
"986" 7.4 0.58 0 2 0.064 7 11 0.99562 3.45 0.58 11.3 "4"
"38" 11.1907321162988 0.587219634889625 0.645961065585725 5.3311214604415 0.0845795175118838 5.89073211629875 18.3443926977925 0.998668878539559 3.22109267883701 0.704204824881162 13.312585693039 "6"
"74" 8.3 0.675 0.26 2.1 0.084 11 43 0.9976 3.31 0.53 9.2 "2"
"46" 4.6 0.52 0.15 2.1 0.054 8 65 0.9934 3.9 0.56 13.1 "2"
"16" 7.14233502950519 0.897225890490226 0.05 4.93796946890652 0.0775548219019547 6.59847750794142 21.4086301634088 0.997861974598048 3.38094923672266 0.526350254425779 10.094162426237 "1"
"813" 10.8 0.45 0.33 2.5 0.099 20 38 0.99818 3.24 0.71 10.8 "3"
"691" 7.4 1.185 0 4.25 0.097 5 14 0.9966 3.63 0.54 10.7 "1"
"1147" 7.8 0.5 0.12 1.8 0.178 6 21 0.996 3.28 0.87 9.8 "4"
"43" 6.27600858148653 0.516991602834314 0.0502437021257356 1.96869751771446 0.0510852957440075 30.0243702125736 72.8294085119851 0.991937021269396 3.48650419858284 0.793008397165686 13.5613864539424 "6"
"1478" 5.3 0.47 0.11 2.2 0.048 16 89 0.99182 3.54 0.88 13.6 "5"
"1501" 7.5 0.725 0.04 1.5 0.076 8 15 0.99508 3.26 0.53 9.6 "3"
"822" 4.9 0.42 0 2.1 0.048 16 42 0.99154 3.71 0.74 14 "5"
"365" 12.8 0.615 0.66 5.8 0.083 7 42 1.0022 3.07 0.73 10 "5"
"1223" 8.1 0.53 0.22 2.2 0.078 33 89 0.99678 3.26 0.46 9.6 "4"
"301" 8.81860854388215 0.307928065310698 0.499218165951315 2.50930427194107 0.0749788919698913 5.2071934689302 15.9429246252403 0.996294292462524 3.17114150749519 0.967568391864188 11.2507429657271 "6"
"1104" 7.4 0.49 0.27 2.1 0.071 14 25 0.99388 3.35 0.63 12 "4"
"1340" 7.5 0.51 0.02 1.7 0.084 13 31 0.99538 3.36 0.54 10.5 "4"
"1462" 6.2 0.785 0 2.1 0.06 6 13 0.99664 3.59 0.61 10 "2"
"1164" 9 0.785 0.24 1.7 0.078 10 21 0.99692 3.29 0.67 10 "3"
"63" 7.5 0.52 0.16 1.9 0.085 12 35 0.9968 3.38 0.62 9.5 "5"
"1567" 6.7 0.16 0.64 2.1 0.059 24 52 0.99494 3.34 0.71 11.2 "4"
"73" 7.7 0.69 0.22 1.9 0.084 18 94 0.9961 3.31 0.48 9.5 "3"
"1399" 7 0.6 0.12 2.2 0.083 13 28 0.9966 3.52 0.62 10.2 "5"
"1572" 6.4 0.38 0.14 2.2 0.038 15 25 0.99514 3.44 0.65 11.1 "4"
"1112" 5.4 0.42 0.27 2 0.092 23 55 0.99471 3.78 0.64 12.3 "5"
"874" 9.1 0.21 0.37 1.6 0.067 6 10 0.99552 3.23 0.58 11.1 "5"
"1203" 8.6 0.42 0.39 1.8 0.068 6 12 0.99516 3.35 0.69 11.7 "6"
"152" 9.2 0.52 1 3.4 0.61 32 69 0.9996 2.74 2 9.4 "2"
"291" 7.19751250536647 0.975762922212016 0.0337479157722555 5.22868955739541 0.0868756252683233 3.65008336910978 14 0.997598938306859 3.47475958744762 0.526500833691098 10.3625208422774 "1"
"1585" 6.7 0.32 0.44 2.4 0.061 24 34 0.99484 3.29 0.8 11.6 "5"
"81" 6.87083694017492 1.03750649231486 0.06 2.07083694017492 0.0607083694017492 9.66695521399379 25.1673880349845 0.995126626270041 3.51583261196502 0.491242425632663 11.2541847008746 "2"
"873" 7.3 0.35 0.24 2 0.067 28 48 0.99576 3.43 0.54 10 "2"
"1133" 7.4 0.36 0.34 1.8 0.075 18 38 0.9933 3.38 0.88 13.6 "5"
"938" 12 0.63 0.5 1.4 0.071 6 26 0.99791 3.07 0.6 10.4 "2"
"902" 7.4 0.635 0.1 2.4 0.08 16 33 0.99736 3.58 0.69 10.8 "5"
"210" 7.15157473310828 0.398238211739808 0.225157473310828 1.96289368327707 0.0725659475084394 20.9497998226434 38.7234208192676 0.995793395685051 3.41515747331083 0.499183051604778 9.64748999113217 "2"
"507" 10.4 0.24 0.46 1.8 0.075 6 21 0.9976 3.25 1.02 10.8 "5"
"1093" 7 0.54 0.09 2 0.081 10 16 0.99479 3.43 0.59 11.5 "4"
"201" 8.52139019563328 0.368673798323143 0.393058812296949 2.22652403353713 0.0612855607825331 11.2245994410478 24.0919792733621 0.99565629933862 3.19979679552838 0.718470593851525 11.1867379832314 "6"
"492" 9.2 0.41 0.5 2.5 0.055 12 25 0.9952 3.34 0.79 13.3 "5"
"1186" 7 0.43 0.3 2 0.085 6 39 0.99346 3.33 0.46 11.9 "4"
"949" 8.9 0.12 0.45 1.8 0.075 10 21 0.99552 3.41 0.76 11.9 "5"
"251" 10.4270230094669 0.339500884979498 0.536299469012301 2.64199646008201 0.0720998230041005 5.20998230041005 16.20998230041 0.997032014159672 3.15 0.706695221110713 11.146987610287 "6"
"3" 9.7147662629839 0.851563431165414 0.363748984183185 3.12017360973405 0.0843238990360405 7.75567412259988 32.1874492091592 0.998914766262984 3.42056876668241 0.556534044735599 9.76307079831604 "1"
"1127" 5.8 0.29 0.26 1.7 0.063 3 11 0.9915 3.39 0.54 13.5 "4"
"230" 6.9 0.52 0.25 2.6 0.081 10 37 0.99685 3.46 0.5 11 "3"
"941" 9.6 0.33 0.52 2.2 0.074 13 25 0.99509 3.36 0.76 12.4 "5"
"134" 6.6 0.5 0.01 1.5 0.06 17 26 0.9952 3.4 0.58 9.8 "4"
"10" 10.2206463796552 0.778692604835378 0.443244431088679 2.87325593373971 0.0815536031590309 8.35791235673241 36.1622215544339 0.999420646379655 3.37479866088834 0.560147474140394 9.55830979871098 "1"
"518" 10.4 0.61 0.49 2.1 0.2 5 16 0.9994 3.16 0.63 8.4 "1"
"37" 8.31702700650785 0.674148649674608 0.248081095444504 2.11702700650785 0.0855324305857066 11 48.4486420825124 0.997559135184381 3.29127029284136 0.540216203904711 9.2 "2"
"1090" 11.6 0.41 0.54 1.5 0.095 22 41 0.99735 3.02 0.76 9.9 "5"
"310" 11.9230375442654 0.328616467532702 0.664150597401895 2.13230375442654 0.0713230375442654 6 26.1229095631279 0.998100888226675 2.95954308854882 0.797998720188625 10.1215571664739 "6"
"39" 5.7 1.13 0.09 1.5 0.172 7 19 0.994 3.5 0.48 9.8 "2"
"831" 7.5 0.685 0.07 2.5 0.058 5 9 0.99632 3.38 0.55 10.9 "2"
"411" 9.06580741065554 0.401367703573778 0.492477630344219 1.8 0.0707948444639332 6.93161482131109 15.7264592852443 0.994656927996492 3.21957392501645 0.69 12.4452918570489 "6"
"569" 9.8 0.5 0.49 2.6 0.25 5 20 0.999 3.31 0.79 10.7 "4"
"36" 10.6491002649069 0.817724933773279 0.503101543709636 2.17622750662267 0.0889766708277166 8.8113753311336 37.9664525166154 0.999364141400009 3.30943123344332 0.529586761258543 9.45167737416923 "1"
"11" 9.40914940494113 0.799913030719617 0.328161069473717 2.81010959312553 0.165980796236312 5 15.3394329366274 0.998475206111278 3.31523325989256 0.600274482148234 9.15965212287847 "1"
"32" 7.81106746513396 1.50688019957859 0.0369368063984439 2.1 0.141749017965514 5 9.52766866283491 0.995109768942222 3.47437037923373 0.417337684636004 10.7115469061304 "1"
"232" 8.55143796999473 0.328285401000176 0.503429197999649 3.25256641600281 0.078868583959993 11.0913721800316 28.3141604000703 0.996909137218003 3.2631416040007 0.886057518799789 12.3222788220039 "6"
"131" 7.09519649492577 0.522943228883669 0.153152841217816 2.87598247462884 0.0835615719594061 7.8288210304454 25.3423579391092 0.99645510913427 3.38609607010148 0.457327509289607 9.03048035050742 "2"
"1043" 8.9 0.5 0.21 2.2 0.088 21 39 0.99692 3.33 0.83 11.1 "4"
"834" 11.6 0.47 0.44 1.6 0.147 36 51 0.99836 3.38 0.86 9.9 "2"
"496" 10.7 0.35 0.53 2.6 0.07 5 16 0.9972 3.15 0.65 11 "6"
"241" 10.6049215713283 0.346343137358781 0.532194117584731 2.61462745056488 0.0707313725282438 5.07313725282438 16.0731372528244 0.99714149019774 3.15 0.669747058262583 11.0511960769771 "6"
"1483" 7.2 0.58 0.54 2.1 0.114 3 9 0.99719 3.33 0.57 10.3 "2"
"601" 8.2 0.915 0.27 2.1 0.088 7 23 0.9962 3.26 0.47 10 "2"
"669" 10 0.73 0.43 2.3 0.059 15 31 0.9966 3.15 0.57 11 "3"
"830" 5.9 0.61 0.08 2.1 0.071 16 24 0.99376 3.56 0.77 11.1 "4"
"1" 7.44169534076937 1.17899388543679 0.00655212497804314 4.22964870271971 0.0967716683719773 5.04963731043972 14.3276062489022 0.996641695340769 3.62622756440658 0.540297823862638 10.6831233144505 "1"
"26" 6.3 0.39 0.16 1.4 0.08 11 23 0.9955 3.34 0.56 9.3 "3"
"263" 9.66737140417099 0.382269643619657 0.510638213828206 2.0836857020855 0.0706453928723931 6.29078574478626 16 0.995534886389226 3.18872357234359 0.675815714895725 11.9680893085897 "6"
"12" 9.95292427516542 0.695689513926627 0.416977631610353 2.42040426946478 0.184650400114013 5 15.7019495167769 0.998982729323488 3.23004186355742 0.616587728254963 8.74275805570651 "1"
"331" 5.43303401372395 0.480624761921354 0.0581257142359391 1.82678639451042 0.0461429115608335 26.7946122470312 82.0445170155726 0.990920538775297 3.52946503396146 0.809285442195833 14 "6"
"281" 5.4580855066888 0.484131970936432 0.0476040871907026 1.81676579732448 0.0453412637859583 27.2455391203985 83.8983274949715 0.99087544608796 3.51844237705693 0.813293681070208 14 "6"
"1405" 8 0.5 0.39 2.6 0.082 12 46 0.9985 3.43 0.62 10.7 "4"
"1103" 6.1 0.48 0.09 1.7 0.078 18 30 0.99402 3.45 0.54 11.2 "4"
"602" 13.2 0.46 0.52 2.2 0.071 12 35 1.0006 3.1 0.56 9 "4"
"101" 8.69855838594958 0.925412862568628 0.0415465321624652 1.86762774270028 0.0773669709945098 6.35255485400558 20.1834854972549 0.996437273745071 3.31183485497255 0.443381387135014 9.6 "2"
"1059" 9.9 0.53 0.57 2.4 0.093 30 52 0.9971 3.19 0.76 11.6 "5"
"262" 7 0.975 0.04 2 0.087 12 67 0.99565 3.35 0.6 9.4 "2"
"932" 7.4 0.61 0.01 2 0.074 13 38 0.99748 3.48 0.65 9.8 "3"
"1190" 8.8 0.955 0.05 1.8 0.075 5 19 0.99616 3.3 0.44 9.6 "2"
"5" 8.23035228196531 1.42241192950867 0.104008126524277 2.11575880704913 0.127071951559046 5.78794035245664 14.9883466786705 0.995711831945768 3.46060298237717 0.426789971983526 10.6005826660665 "1"
"148" 7.6 0.49 0.26 1.6 0.236 10 88 0.9968 3.11 0.8 9.3 "3"
"231" 5.2 0.48 0.04 1.6 0.054 19 106 0.9927 3.54 0.62 12.2 "5"
"7" 7.3991282580886 1.18321292908164 0.000435870955698192 4.23125754890498 0.0966861729118973 5.13076128670946 14.3051096689887 0.996603922838601 3.62721042588353 0.54008717419114 10.691282580886 "1"
"1450" 7.2 0.38 0.31 2 0.056 15 29 0.99472 3.23 0.76 11.3 "6"
"268" 7.9 0.35 0.46 3.6 0.078 15 37 0.9973 3.35 0.86 12.8 "6"
"33" 7.4162921352312 1.21717696708161 0 4.07485954626463 0.100258427046239 5 13.5926966192201 0.996450112355873 3.61941011209972 0.528595505338162 10.7162921352312 "1"
"1178" 7.1 0.66 0 2.4 0.052 6 11 0.99318 3.35 0.66 12.7 "5"
"351" 7.9 0.42300634780433 0.413890727702528 3.17733167060651 0.0772315121283755 12.3102924493141 29.3151212837547 0.995397992517729 3.29236340962816 0.806205848986283 12.9152731807437 "6"
"892" 7.2 0.66 0.03 2.3 0.078 16 86 0.99743 3.53 0.57 9.7 "3"
"798" 9.3 0.37 0.44 1.6 0.038 21 42 0.99526 3.24 0.81 10.8 "5"
"20" 10.0961946702562 0.715246846375521 0.43683406729484 2.1 0.193164380080765 5 15.2404866756406 0.998896551167853 3.19689064718317 0.605044562199619 8.6712547586998 "1"
