"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality"
"114" 9.75587665073108 0.313687563489657 0.551787461906206 2.74524974604137 0.0772624873020686 5.72624873020686 16.7262487302069 0.996619001015834 3.15 0.846087157155853 11.5083741111448 "6"
"499" 10.7 0.35 0.53 2.6 0.07 5 16 0.9972 3.15 0.65 11 "6"
"64" 7 0.735 0.05 2 0.081 13 54 0.9966 3.39 0.57 9.8 "3"
"1495" 6.4 0.31 0.09 1.4 0.066 15 28 0.99459 3.42 0.7 10 "5"
"829" 7.8 0.57 0.09 2.3 0.065 34 45 0.99417 3.46 0.74 12.7 "6"
"1596" 5.9 0.55 0.1 2.2 0.062 39 51 0.99512 3.52 0.76 11.2 "4"
"488" 10.2 0.645 0.36 1.8 0.053 5 14 0.9982 3.17 0.42 10 "4"
"1595" 6.2 0.6 0.08 2 0.09 32 44 0.9949 3.45 0.58 10.5 "3"
"63" 6.46058959206566 0.734007489765063 0.158509122477844 1.8115863266401 0.0565992510234937 10.5033224485815 61.4339734623209 0.992381291530607 3.42529902037233 0.782583061214536 12.9748338775709 "6"
"560" 13 0.47 0.49 4.3 0.085 6 47 1.0021 3.3 0.68 12.7 "4"
"936" 8.8 0.3 0.38 2.3 0.06 19 72 0.99543 3.39 0.72 11.8 "4"
"35" 7.70295887598768 1.49763289920986 0.00294168217107654 2.29120934111997 0.129204542246647 5.14708410855383 9.29416821710765 0.995371869891584 3.49705831782892 0.413237569769844 10.9147084108554 "1"
"213" 7.97673190739006 0.349040851157624 0.459680283719208 3.68952055862173 0.077840141859604 14.6802837192081 36.2326809260994 0.997309591488424 3.3461634046305 0.858721134876832 12.7936056743842 "6"
"881" 9.2 0.56 0.18 1.6 0.078 10 21 0.99576 3.15 0.49 9.9 "3"
"1246" 7.4 0.55 0.19 1.8 0.082 15 34 0.99655 3.49 0.68 10.5 "3"
"1112" 5.4 0.42 0.27 2 0.092 23 55 0.99471 3.78 0.64 12.3 "5"
"433" 11.9 0.37 0.69 2.3 0.078 12 24 0.9958 3 0.65 12.8 "4"
"831" 7.5 0.685 0.07 2.5 0.058 5 9 0.99632 3.38 0.55 10.9 "2"
"897" 8.3 0.31 0.39 2.4 0.078 17 43 0.99444 3.31 0.77 12.5 "5"
"1137" 10.4 0.52 0.45 2 0.08 6 13 0.99774 3.22 0.76 11.4 "4"
"942" 9.9 0.27 0.49 5 0.082 9 17 0.99484 3.19 0.52 12.5 "5"
"92" 8.6 0.49 0.28 1.9 0.11 20 136 0.9972 2.93 1.95 9.9 "4"
"842" 6.6 0.66 0 3 0.115 21 31 0.99629 3.45 0.63 10.3 "3"
"834" 11.6 0.47 0.44 1.6 0.147 36 51 0.99836 3.38 0.86 9.9 "2"
"1424" 6.4 0.53 0.09 3.9 0.123 14 31 0.9968 3.5 0.67 11 "2"
"9" 7.8 0.58 0.02 2 0.073 9 18 0.9968 3.36 0.57 9.5 "5"
"1300" 7.6 1.58 0 2.1 0.137 5 9 0.99476 3.5 0.4 10.9 "1"
"171" 7.9 0.885 0.03 1.8 0.058 4 8 0.9972 3.36 0.33 9.1 "2"
"1030" 7.7 0.58 0.01 1.8 0.088 12 18 0.99568 3.32 0.56 10.5 "5"
"1134" 7.2 0.48 0.07 5.5 0.089 10 18 0.99684 3.37 0.68 11.2 "5"
"336" 11.9 0.695 0.53 3.4 0.128 7 21 0.9992 3.17 0.84 12.2 "5"
"312" 7.51370017970912 0.338962862277403 0.388258604803123 2.55147191635333 0.068618432935793 8.37771736644208 23.7554347328842 0.996582586048031 3.28377717366442 0.992445652671158 11.2548007188365 "6"
"491" 7.59635463440791 0.352447898676619 0.318125043176115 1.80755210132338 0.0746796891191043 18.8880253308453 27.7760506616905 0.994214166724235 3.22036453655921 0.694713529073633 11.4302084052935 "6"
