"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality"
"236" 7.2 0.63 0 1.9 0.097 14 38 0.99675 3.37 0.58 9 "4"
"421" 8.8 0.61 0.3 2.8 0.088 17 46 0.9976 3.26 0.51 9.3 "2"
"864" 7.2 0.62 0.06 2.5 0.078 17 84 0.99746 3.51 0.53 9.7 "3"
"1248" 7.4 0.55 0.19 1.8 0.082 15 34 0.99655 3.49 0.68 10.5 "3"
"211" 9.7 0.53 0.6 2 0.039 5 19 0.99585 3.3 0.86 12.4 "4"
"80" 8.3 0.625 0.2 1.5 0.08 27 119 0.9972 3.16 1.12 9.1 "2"
"634" 10.1 0.935 0.22 3.4 0.105 11 86 1.001 3.43 0.64 11.3 "2"
"877" 7.1 0.47 0 2.2 0.067 7 14 0.99517 3.4 0.58 10.9 "2"
"302" 5.84339185506105 0.467780527025461 0.0865586584806442 1.84039904177189 0.0464239425063133 25.3740622848272 75.2842778861523 0.991591821218729 3.44546129360795 0.807880287468433 13.4546129360795 "6"
"504" 10.5 0.26 0.47 1.9 0.078 6 24 0.9976 3.18 1.04 10.9 "5"
"268" 7.9 0.35 0.46 3.6 0.078 15 37 0.9973 3.35 0.86 12.8 "6"
"610" 6.3 0.36 0.19 3.2 0.075 15 39 0.9956 3.56 0.52 12.7 "4"
"1076" 9.1 0.25 0.34 2 0.071 45 67 0.99769 3.44 0.86 10.2 "5"
"601" 8.2 0.915 0.27 2.1 0.088 7 23 0.9962 3.26 0.47 10 "2"
"541" 7.19195703864098 0.923277445286512 0.05 4.04477330446243 0.0723445109426975 10.816348284483 30.0924817621708 0.997606421250999 3.35861933261156 0.533793555796146 9.97010740339756 "1"
"1239" 8.1 0.73 0 2.5 0.081 12 24 0.99798 3.38 0.46 9.6 "2"
"29" 8.06931681062561 1.20454655149952 0.0134090517321602 2.97158836259041 0.101466012909776 5.67045258660801 10.340905173216 0.997549082760289 3.48659094826784 0.460340732794721 10.9670452586608 "1"
"1062" 9.1 0.4 0.5 1.8 0.071 7 16 0.99462 3.21 0.69 12.5 "6"
"251" 10.8 0.32 0.44 1.6 0.063 16 37 0.9985 3.22 0.78 10 "4"
"172" 5.2619340443518 0.430838650111109 0.249032208425924 2.04516104212962 0.0614451533481479 18.0064570731483 47.019371219445 0.991758709354769 3.67303251618519 0.738193558314815 13.9187101241667 "6"
"34" 7.45828517256305 1.30011321581202 0 3.62343439494725 0.108657034512609 5 12.5428706859238 0.99606377641242 3.59211463783402 0.499200379205868 10.758285172563 "1"
"1507" 6.8 0.81 0.05 2 0.07 6 14 0.99562 3.51 0.66 10.8 "4"
"1403" 7.6 0.3 0.42 2 0.052 6 24 0.9963 3.44 0.82 11.9 "4"
"46" 7.14882254805416 0.900631837728433 0.05 4.82119413502514 0.0768736324543133 7.14991658460349 22.5439459094778 0.997828563877521 3.37802985337563 0.527323382208124 10.0779436298646 "1"
"1130" 10.5 0.43 0.35 3.3 0.092 24 70 0.99798 3.21 0.69 10.5 "4"
"95" 5 1.02 0.04 1.4 0.045 41 85 0.9938 3.75 0.48 10.5 "2"
"451" 11.9 0.39 0.69 2.8 0.095 17 35 0.9994 3.1 0.61 10.8 "4"
"154" 11.1179680376779 0.341200672890991 0.571796803767793 2.51200672890991 0.0704399663554505 5.21998317772523 18.8597813104279 0.997529974766588 3.09060454201419 0.687397140213288 10.7360201867297 "6"
"264" 7.9 0.37 0.23 1.8 0.077 23 49 0.9963 3.28 0.67 9.3 "3"
"45" 6.88898496441543 0.844365038257092 0.0088984964415431 1.36017293594778 0.230338194660842 16.7118797153234 32.5593985766172 0.995126449633464 3.31822030071169 0.517118797153234 9.78220300711691 "1"
"444" 9.09392372816801 0.399746822007 0.4997974576056 1.80911440774798 0.0710354449190199 7.04050847887993 16.1063347570598 0.994633570340425 3.2107088983804 0.690860805176198 12.501519067958 "6"
"291" 6.46700027235784 0.523634792082012 0.0552260940615088 2.01021745051257 0.0528291329215281 30.5226094061509 69.3417341569439 0.992216865616455 3.48318260395899 0.786365207917988 13.4534346286673 "6"
"1387" 7.4 0.64 0.07 1.8 0.1 8 23 0.9961 3.3 0.58 9.6 "3"
"441" 12.6 0.31 0.72 2.2 0.072 6 29 0.9987 2.88 0.82 9.8 "6"
"355" 6.1 0.21 0.4 1.4 0.066 40.5 165 0.9912 3.25 0.59 11.9 "4"
"50" 7.30632280569989 1.08820023255656 0.0156128657166846 4.70277310578385 0.0923161402849946 4.37548537133262 14 0.997062140825214 3.55818081770325 0.533754853713326 10.5438713428332 "1"
"335" 7.9 0.65 0.01 2.5 0.078 17 38 0.9963 3.34 0.74 11.7 "5"
"830" 5.9 0.61 0.08 2.1 0.071 16 24 0.99376 3.56 0.77 11.1 "4"
"1264" 8.2 0.78 0 2.2 0.089 13 26 0.9978 3.37 0.46 9.6 "2"
"200" 6.9 1.09 0.06 2.1 0.061 12 31 0.9948 3.51 0.43 11.4 "2"
"2" 9.77026460170746 0.699949320554733 0.411969201564789 3.62312753200531 0.0772528629302978 7.15374493598938 33.5819404125214 0.999694026603699 3.31099117994308 0.549669606685638 9.48792943954468 "1"
"16" 8.9 0.62 0.19 3.9 0.17 51 148 0.9986 3.17 0.93 9.2 "3"
"162" 7.6 0.68 0.02 1.3 0.072 9 20 0.9965 3.17 1.08 9.2 "2"
"416" 8.6 0.725 0.24 6.6 0.117 31 134 1.0014 3.32 1.07 9.3 "3"
"61" 8.8 0.4 0.4 2.2 0.079 19 52 0.998 3.44 0.64 9.2 "3"
"231" 10.0821318591014 0.270559810455889 0.538826687727123 1.98213185910136 0.0814746940452606 37.6587445903569 67.1947888173163 0.994825621001404 2.9999463086389 0.632346624545753 11.7061350181699 "6"
"860" 6.8 0.56 0.22 1.8 0.074 15 24 0.99438 3.4 0.82 11.2 "4"
"94" 10.8470807278529 0.416186327533796 0.564318836499006 3.23734982069582 0.0739221527427435 5.24513454642147 16.7354036392644 0.997592215274274 3.1671594182495 0.659805381856859 11.5883229114115 "6"
"1136" 8 0.25 0.43 1.7 0.067 22 50 0.9946 3.38 0.6 11.9 "4"
"1433" 5.9 0.44 0 1.6 0.042 3 11 0.9944 3.48 0.85 11.7 "4"
"633" 7.6 0.41 0.14 3 0.087 21 43 0.9964 3.32 0.57 10.5 "4"
"642" 9.5 0.59 0.44 2.3 0.071 21 68 0.9992 3.46 0.63 9.5 "3"
"1556" 7 0.56 0.17 1.7 0.065 15 24 0.99514 3.44 0.68 10.55 "5"
"60" 7.07801404139027 0.868679036899703 0.0483510531042703 5.48563690355513 0.0817801404139027 3.16489468957298 13.8900702069513 0.997965673015229 3.40824473447865 0.526046138617676 10.1862587758689 "1"
"208" 7.8 0.57 0.31 1.8 0.069 26 120 0.99625 3.29 0.53 9.3 "3"
"37" 6.76501982072368 0.795760901398025 0.00699603585526347 1.4098810756579 0.20088746116776 12.5019820723683 23.053369523026 0.995161244312665 3.40045441233553 0.551976215131581 9.85247026891448 "1"
"534" 10.3 0.27 0.24 2.1 0.072 15 33 0.9956 3.22 0.66 12.8 "4"
"241" 10.16468820062 0.281174197222572 0.537647311419714 2.06468820062 0.0799415048456285 33.2950522529427 60.3544062343426 0.995142873228097 3.01999570586486 0.634705377160572 11.6117849135771 "6"
"56" 7.10495839044452 0.825805738447234 0.02 2.20495839044452 0.0795185939641669 6 11.7469010059722 0.996739049062561 3.53228307041805 0.594566140836105 10.2157539437292 "1"
"1212" 6.6 0.44 0.15 2.1 0.076 22 53 0.9957 3.32 0.62 9.3 "3"
"656" 9.7 0.55 0.17 2.9 0.087 20 53 1.0004 3.14 0.61 9.4 "3"
"72" 12.5120251387358 0.312419308684766 0.712742073945701 2.19120251387358 0.0719120251387358 6 28.626106839627 0.998622142247781 2.89033704619855 0.817140817008913 9.84178805910051 "6"
"152" 9.2 0.52 1 3.4 0.61 32 69 0.9996 2.74 2 9.4 "2"
"1223" 8.1 0.53 0.22 2.2 0.078 33 89 0.99678 3.26 0.46 9.6 "4"
"501" 5.1174462324474 0.504169799920637 0.202808693058323 1.8825537675526 0.057063844188815 17.6297939547803 57.4382613883354 0.991837020604522 3.68868100468069 0.755659497659653 13.7846819071798 "6"
